,MOF ID,name,topology,First nodular symmetry code,First nodular character,First nodular ID,Second nodular symmetry code,Second nodular character,Second nodular ID,Connecting building block ID,Di,Df,Dif,rho,VSA,GSA,VPOV,GPOV,POAV_vol_frac,PONAV_vol_frac,GPOAV,GPONAV,POAV,PONAV,f-chi-0-all,f-chi-1-all,f-chi-2-all,f-chi-3-all,f-Z-0-all,f-Z-1-all,f-Z-2-all,f-Z-3-all,f-I-0-all,f-I-1-all,f-I-2-all,f-I-3-all,f-T-0-all,f-T-1-all,f-T-2-all,f-T-3-all,f-S-0-all,f-S-1-all,f-S-2-all,f-S-3-all,mc-chi-0-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-I-0-all,mc-I-1-all,mc-I-2-all,mc-I-3-all,mc-T-0-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-S-0-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,D_mc-chi-0-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,D_mc-Z-0-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-I-0-all,D_mc-I-1-all,D_mc-I-2-all,D_mc-I-3-all,D_mc-T-0-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-S-0-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all,f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-2,f-lig-Z-3,f-lig-I-0,f-lig-I-1,f-lig-I-2,f-lig-I-3,f-lig-T-0,f-lig-T-1,f-lig-T-2,f-lig-T-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,f-lig-S-3,lc-chi-0-all,lc-chi-1-all,lc-chi-2-all,lc-chi-3-all,lc-Z-0-all,lc-Z-1-all,lc-Z-2-all,lc-Z-3-all,lc-I-0-all,lc-I-1-all,lc-I-2-all,lc-I-3-all,lc-T-0-all,lc-T-1-all,lc-T-2-all,lc-T-3-all,lc-S-0-all,lc-S-1-all,lc-S-2-all,lc-S-3-all,lc-alpha-0-all,lc-alpha-1-all,lc-alpha-2-all,lc-alpha-3-all,D_lc-chi-0-all,D_lc-chi-1-all,D_lc-chi-2-all,D_lc-chi-3-all,D_lc-Z-0-all,D_lc-Z-1-all,D_lc-Z-2-all,D_lc-Z-3-all,D_lc-I-0-all,D_lc-I-1-all,D_lc-I-2-all,D_lc-I-3-all,D_lc-T-0-all,D_lc-T-1-all,D_lc-T-2-all,D_lc-T-3-all,D_lc-S-0-all,D_lc-S-1-all,D_lc-S-2-all,D_lc-S-3-all,D_lc-alpha-0-all,D_lc-alpha-1-all,D_lc-alpha-2-all,D_lc-alpha-3-all,func-chi-0-all,func-chi-1-all,func-chi-2-all,func-chi-3-all,func-Z-0-all,func-Z-1-all,func-Z-2-all,func-Z-3-all,func-I-0-all,func-I-1-all,func-I-2-all,func-I-3-all,func-T-0-all,func-T-1-all,func-T-2-all,func-T-3-all,func-S-0-all,func-S-1-all,func-S-2-all,func-S-3-all,func-alpha-0-all,func-alpha-1-all,func-alpha-2-all,func-alpha-3-all,D_func-chi-0-all,D_func-chi-1-all,D_func-chi-2-all,D_func-chi-3-all,D_func-Z-0-all,D_func-Z-1-all,D_func-Z-2-all,D_func-Z-3-all,D_func-I-0-all,D_func-I-1-all,D_func-I-2-all,D_func-I-3-all,D_func-T-0-all,D_func-T-1-all,D_func-T-2-all,D_func-T-3-all,D_func-S-0-all,D_func-S-1-all,D_func-S-2-all,D_func-S-3-all,D_func-alpha-0-all,D_func-alpha-1-all,D_func-alpha-2-all,D_func-alpha-3-all,bulk,shear
0,3,acs_sym_7_mc_4_L_12,acs,7,metaliic,4,7,metallic,4,12,9.64336,8.80746,9.64336,3146.5,2193.8,3128.66,0.6635,0.946241773,0.6635,0.0,0.946242,0.0,2087.7,0.0,201.1186,381.84,970.1448,1010.9472,2776.0,6912.0,11520.0,13248.0,22.0,54.0,102.0,132.0,156.0,426.0,726.0,840.0,15.3238,41.3034,71.5158,91.7172,2.7556,28.552,22.4432,62.6152,576.0,960.0,1728.0,2112.0,1.0,5.0,6.0,12.0,25.0,55.0,110.0,140.0,1.6129,4.6355,7.1374,11.3284,0.0,-8.9,-3.56,-17.8,0.0,80.0,72.0,200.0,0.0,0.0,0.0,0.0,0.0,14.0,8.0,32.0,0.0,2.7,2.0,6.32,118.7144,219.096,337.3204,385.387,548.0,1008.0,1456.0,1420.0,16.0,32.0,48.0,58.0,80.0,192.0,256.0,250.0,7.4224,16.2624,23.0448,24.6794,11.8336,8.772,20.6056,17.544,64.0,48.0,112.0,96.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5329,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0.0,0.89,0.89,1.78,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.04,-0.04,-0.08,0.0,-6.0,-6.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.12865,11.23178
1,4,acs_sym_7_mc_4_L_13,acs,7,metaliic,4,7,metallic,4,13,9.94957,9.48351,9.94957,3054.5,2236.08,3041.44,0.7011,0.953611578,0.7011,0.0,0.953611,0.0,2141.51,0.0,201.1186,381.84,970.1448,1010.9472,2776.0,6912.0,11520.0,13248.0,22.0,54.0,102.0,132.0,156.0,426.0,726.0,840.0,15.3238,41.3034,71.5158,91.7172,2.7556,28.552,22.4432,62.6152,576.0,960.0,1728.0,2112.0,1.0,5.0,6.0,12.0,25.0,55.0,110.0,140.0,1.6129,4.6355,7.1374,11.3284,0.0,-8.9,-3.56,-17.8,0.0,80.0,72.0,200.0,0.0,0.0,0.0,0.0,0.0,14.0,8.0,32.0,0.0,2.7,2.0,6.32,110.3108,195.1684,278.5088,279.309,596.0,1060.0,1508.0,1500.0,12.0,24.0,32.0,30.0,56.0,124.0,140.0,114.0,6.7532,13.7384,18.1184,16.8158,11.8336,8.772,20.6056,20.9152,64.0,48.0,112.0,112.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,4.0,0.5329,0.5621,1.095,1.095,28.09,59.89,87.98,78.44,0.0,0.89,0.89,0.8,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,0.0,-0.04,-0.04,-0.04,0.0,-6.0,-6.0,-4.2,9.2416,16.9936,24.7456,37.9088,49.0,91.0,133.0,203.0,1.0,2.0,3.0,4.0,4.0,10.0,16.0,14.0,0.5625,1.14,1.7175,2.235,54.76,138.38,222.0,216.82,0.0,0.49,0.98,-0.31,0.0,1.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-2.0,1.0,0.0,-0.02,-0.04,0.02,0.0,-3.9,-7.8,0.3,14.75974,11.6274
2,12,acs_sym_7_mc_4_L_20,acs,7,metaliic,4,7,metallic,4,20,13.42609,11.83384,13.42609,5674.65,2069.82,4802.63,0.796,1.846966311,0.796,0.0,1.84697,0.0,4517.02,0.0,201.1186,381.84,970.1448,1010.9472,2776.0,6912.0,11520.0,13248.0,22.0,54.0,102.0,132.0,156.0,426.0,726.0,840.0,15.3238,41.3034,71.5158,91.7172,2.7556,28.552,22.4432,62.6152,576.0,960.0,1728.0,2112.0,1.0,5.0,6.0,12.0,25.0,55.0,110.0,130.0,1.6129,4.6355,7.1374,11.3284,0.0,-8.9,-3.56,-17.8,0.0,80.0,72.0,200.0,0.0,0.0,0.0,0.0,0.0,14.0,8.0,34.0,0.0,2.7,2.0,6.32,131.7194,245.106,363.3304,389.314,620.0,1152.0,1600.0,1444.0,18.0,36.0,52.0,60.0,88.0,206.0,264.0,260.0,8.6082,18.634,25.4164,25.9884,11.8336,8.772,20.6056,13.158,64.0,48.0,112.0,72.0,1.0,1.0,2.0,1.5,1.0,3.0,3.5,4.0,0.5329,0.5621,1.095,0.84315,28.09,59.89,87.98,89.835,0.0,0.89,0.89,1.335,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.5,-2.5,0.0,-0.04,-0.04,-0.06,0.0,-6.0,-6.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.911607,5.467771
3,16,acs_sym_7_mc_4_L_24,acs,7,metaliic,4,7,metallic,4,24,15.06601,14.00604,15.05182,7921.1,1838.19,4911.62,0.8043,2.149080969,0.8043,0.0,2.14908,0.0,6370.94,0.0,201.1186,381.84,970.1448,1010.9472,2776.0,6912.0,11520.0,13248.0,22.0,54.0,102.0,132.0,156.0,426.0,726.0,840.0,15.3238,41.3034,71.5158,91.7172,2.7556,28.552,22.4432,62.6152,576.0,960.0,1728.0,2112.0,1.0,5.0,6.0,12.0,25.0,55.0,110.0,140.0,1.6129,4.6355,7.1374,11.3284,0.0,-8.9,-3.56,-17.8,0.0,80.0,72.0,200.0,0.0,0.0,0.0,0.0,0.0,14.0,8.0,32.0,0.0,2.7,2.0,6.32,177.0894,355.011,557.1304,682.442,768.0,1560.0,2272.0,2360.0,26.0,54.0,84.0,108.0,138.0,342.0,484.0,524.0,11.5274,26.8422,39.4612,45.1084,11.8336,8.772,20.6056,17.544,64.0,48.0,112.0,96.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5329,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0.0,0.89,0.89,1.78,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.04,-0.04,-0.08,0.0,-6.0,-6.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.86795,4.384087
4,18,acs_sym_7_mc_4_L_26,acs,7,metaliic,4,7,metallic,4,26,15.35307,14.52062,15.35307,7547.2,1783.35,4422.69,0.8313,2.061612785,0.8313,0.0,2.06161,0.0,6273.98,0.0,201.1186,381.84,970.1448,1010.9472,2776.0,6912.0,11520.0,13248.0,22.0,54.0,102.0,132.0,156.0,426.0,726.0,840.0,15.3238,41.3034,71.5158,91.7172,2.7556,28.552,22.4432,62.6152,576.0,960.0,1728.0,2112.0,1.0,5.0,6.0,12.0,25.0,55.0,110.0,140.0,1.6129,4.6355,7.1374,11.3284,0.0,-8.9,-3.56,-17.8,0.0,80.0,72.0,200.0,0.0,0.0,0.0,0.0,0.0,14.0,8.0,32.0,0.0,2.7,2.0,6.32,160.2822,307.1558,439.5072,465.2292,864.0,1664.0,2376.0,2496.0,18.0,38.0,52.0,52.0,90.0,206.0,252.0,228.0,10.189,21.7942,29.6084,29.3716,11.8336,8.772,20.6056,20.9152,64.0,48.0,112.0,112.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,4.0,0.5329,0.5621,1.095,1.095,28.09,59.89,87.98,78.44,0.0,0.89,0.89,0.8,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,0.0,-0.04,-0.04,-0.04,0.0,-6.0,-6.0,-4.2,9.2416,16.9936,24.7456,36.6928,49.0,91.0,133.0,196.0,1.0,2.0,3.0,4.0,4.0,10.0,16.0,16.0,0.5625,1.14,1.7175,2.25,54.76,138.38,222.0,232.36,0.0,0.49,0.98,0.09,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-2.0,0.0,0.0,-0.02,-0.04,0.0,0.0,-3.9,-7.8,-1.8,7.366024,5.053149
5,19,acs_sym_7_mc_4_L_27,acs,7,metaliic,4,7,metallic,4,27,15.99522,14.4931,15.99522,6802.38,1727.36,5424.48,0.8656,2.718268548,0.8656,0.0,2.71827,0.0,5888.14,0.0,201.1186,381.84,970.1448,1010.9472,2776.0,6912.0,11520.0,13248.0,22.0,54.0,102.0,132.0,156.0,426.0,726.0,840.0,15.3238,41.3034,71.5158,91.7172,2.7556,28.552,22.4432,62.6152,576.0,960.0,1728.0,2112.0,1.0,5.0,6.0,12.0,25.0,55.0,110.0,120.0,1.6129,4.6355,7.1374,11.3284,0.0,-8.9,-3.56,-17.8,0.0,80.0,72.0,200.0,0.0,0.0,0.0,0.0,0.0,14.0,8.0,36.0,0.0,2.7,2.0,6.32,99.3544,161.211,195.5404,135.201,544.0,888.0,1072.0,744.0,12.0,22.0,24.0,18.0,46.0,88.0,76.0,64.0,6.8748,12.7974,13.7432,10.4258,11.8336,8.772,20.6056,8.772,64.0,48.0,112.0,48.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,0.5329,0.5621,1.095,0.5621,28.09,59.89,87.98,59.89,0.0,0.89,0.89,0.89,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.0,-1.0,0.0,-0.04,-0.04,-0.04,0.0,-6.0,-6.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.494586,4.03868
6,33,acs_sym_7_mc_4_L_3,acs,7,metaliic,4,7,metallic,4,3,9.14314,7.58506,9.14314,2030.49,2340.16,2815.88,0.6931,0.833995139,0.6931,0.0,0.833995,0.0,1407.34,0.0,201.1186,381.84,970.1448,1010.9472,2776.0,6912.0,11520.0,13248.0,22.0,54.0,102.0,132.0,156.0,426.0,726.0,840.0,15.3238,41.3034,71.5158,91.7172,2.7556,28.552,22.4432,62.6152,576.0,960.0,1728.0,2112.0,1.0,5.0,6.0,12.0,25.0,55.0,110.0,120.0,1.6129,4.6355,7.1374,11.3284,0.0,-8.9,-3.56,-17.8,0.0,80.0,72.0,200.0,0.0,0.0,0.0,0.0,0.0,14.0,8.0,36.0,0.0,2.7,2.0,6.32,73.3444,109.191,143.5204,83.181,400.0,600.0,784.0,456.0,8.0,14.0,16.0,10.0,30.0,56.0,44.0,34.0,4.5032,8.0542,9.0,5.6826,11.8336,8.772,20.6056,8.772,64.0,48.0,112.0,48.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,0.5329,0.5621,1.095,0.5621,28.09,59.89,87.98,59.89,0.0,0.89,0.89,0.89,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.0,-1.0,0.0,-0.04,-0.04,-0.04,0.0,-6.0,-6.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.81737,15.69498
7,27,acs_sym_7_mc_4_L_34,acs,7,metaliic,4,7,metallic,4,34,17.78575,16.65561,17.77281,9149.4,1799.1,6130.65,0.8597,2.92953043,0.8597,0.0,2.92953,0.0,7865.74,0.0,201.1186,381.84,970.1448,1010.9472,2776.0,6912.0,11520.0,13248.0,22.0,54.0,102.0,132.0,156.0,426.0,726.0,840.0,15.3238,41.3034,71.5158,91.7172,2.7556,28.552,22.4432,62.6152,576.0,960.0,1728.0,2112.0,1.0,5.0,6.0,12.0,25.0,55.0,110.0,120.0,1.6129,4.6355,7.1374,11.3284,0.0,-8.9,-3.56,-17.8,0.0,80.0,72.0,200.0,0.0,0.0,0.0,0.0,0.0,14.0,8.0,36.0,0.0,2.7,2.0,6.32,144.7244,271.116,389.3404,393.241,692.0,1296.0,1744.0,1468.0,20.0,40.0,56.0,62.0,96.0,220.0,272.0,270.0,9.794,21.0056,27.788,27.2974,11.8336,8.772,20.6056,8.772,64.0,48.0,112.0,48.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,0.5329,0.5621,1.095,0.5621,28.09,59.89,87.98,59.89,0.0,0.89,0.89,0.89,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.0,-1.0,0.0,-0.04,-0.04,-0.04,0.0,-6.0,-6.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.04091,2.98291
8,30,acs_sym_7_mc_4_L_37,acs,7,metaliic,4,7,metallic,4,37,17.07962,14.91652,17.07962,9185.17,1659.83,5678.2,0.8572,2.932432941,0.8572,0.0,2.93243,0.0,7873.53,0.0,201.1186,381.84,970.1448,1010.9472,2776.0,6912.0,11520.0,13248.0,22.0,54.0,102.0,132.0,156.0,426.0,726.0,840.0,15.3238,41.3034,71.5158,91.7172,2.7556,28.552,22.4432,62.6152,576.0,960.0,1728.0,2112.0,1.0,5.0,6.0,12.0,25.0,55.0,110.0,130.0,1.6129,4.6355,7.1374,11.3284,0.0,-8.9,-3.56,-17.8,0.0,80.0,72.0,200.0,0.0,0.0,0.0,0.0,0.0,14.0,8.0,34.0,0.0,2.7,2.0,6.32,144.7244,271.116,389.3404,415.324,692.0,1296.0,1744.0,1588.0,20.0,40.0,56.0,64.0,96.0,222.0,280.0,274.0,9.794,21.0056,27.788,28.36,11.8336,8.772,20.6056,13.158,64.0,48.0,112.0,72.0,1.0,1.0,2.0,1.5,1.0,3.0,3.5,4.0,0.5329,0.5621,1.095,0.84315,28.09,59.89,87.98,89.835,0.0,0.89,0.89,1.335,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.5,-2.5,0.0,-0.04,-0.04,-0.06,0.0,-6.0,-6.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.248533,3.512994
9,35,acs_sym_7_mc_4_L_41,acs,7,metaliic,4,7,metallic,4,41,18.19108,16.8656,18.19108,12068.2,1546.61,5825.76,0.8577,3.230776185,0.8577,0.0,3.23078,0.0,10350.9,0.0,201.1186,381.84,970.1448,1010.9472,2776.0,6912.0,11520.0,13248.0,22.0,54.0,102.0,132.0,156.0,426.0,726.0,840.0,15.3238,41.3034,71.5158,91.7172,2.7556,28.552,22.4432,62.6152,576.0,960.0,1728.0,2112.0,1.0,5.0,6.0,12.0,25.0,55.0,110.0,140.0,1.6129,4.6355,7.1374,11.3284,0.0,-8.9,-3.56,-17.8,0.0,80.0,72.0,200.0,0.0,0.0,0.0,0.0,0.0,14.0,8.0,32.0,0.0,2.7,2.0,6.32,190.0944,381.021,583.1404,695.447,840.0,1704.0,2416.0,2432.0,28.0,58.0,88.0,110.0,146.0,356.0,484.0,486.0,12.7132,29.2138,41.8328,46.2942,11.8336,8.772,20.6056,17.544,64.0,48.0,112.0,96.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5329,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0.0,0.89,0.89,1.78,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.04,-0.04,-0.08,0.0,-6.0,-6.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.342075,3.217868
