,MOF ID,name,topology,First nodular symmetry code,First nodular character,First nodular ID,Second nodular symmetry code,Second nodular character,Second nodular ID,Connecting building block ID,VF,VSA,GSA,PLD,LCD,LCD/PLD,UCV,GPV,density,bulk,shear
0,3,acs_sym_7_mc_4_L_12,acs,7,metaliic,4,7,metallic,4,12,0.75,2073,2956,8.4,9.6,1.142857,3146.5,0.997533,0.751855,14.12865,11.23178
1,4,acs_sym_7_mc_4_L_13,acs,7,metaliic,4,7,metallic,4,13,0.76,2096,2850,9.5,10.7,1.126316,3054.498,0.965213,0.787391,14.75974,11.6274
3,12,acs_sym_7_mc_4_L_20,acs,7,metaliic,4,7,metallic,4,20,0.85,2086,4839,11.4,14.1,1.236842,5674.652,1.851582,0.459067,8.911607,5.467771
4,16,acs_sym_7_mc_4_L_24,acs,7,metaliic,4,7,metallic,4,24,0.87,1856,4958,13.6,14.7,1.080882,7921.095,2.206017,0.394376,6.86795,4.384087
5,18,acs_sym_7_mc_4_L_26,acs,7,metaliic,4,7,metallic,4,26,0.86,1782,4420,14.4,15.9,1.104167,7547.196,2.026634,0.424349,7.366024,5.053149
6,19,acs_sym_7_mc_4_L_27,acs,7,metaliic,4,7,metallic,4,27,0.89,1739,5461,15.4,16,1.038961,6802.384,2.603321,0.341871,7.494586,4.03868
7,33,acs_sym_7_mc_4_L_3,acs,7,metaliic,4,7,metallic,4,3,0.74,2142,2577,8.6,9.1,1.05814,2030.494,0.813577,0.909564,19.81737,15.69498
8,27,acs_sym_7_mc_4_L_34,acs,7,metaliic,4,7,metallic,4,34,0.9,1820,6202,17.5,17.8,1.017143,9149.402,2.894989,0.310882,6.04091,2.98291
9,30,acs_sym_7_mc_4_L_37,acs,7,metaliic,4,7,metallic,4,37,0.89,1700,5815,14.5,17.6,1.213793,9185.174,2.874018,0.309671,6.248533,3.512994
10,35,acs_sym_7_mc_4_L_41,acs,7,metaliic,4,7,metallic,4,41,0.9,1578,5945,16.5,17.8,1.078788,12068.16,3.229441,0.278686,5.342075,3.217868
11,37,acs_sym_7_mc_4_L_43,acs,7,metaliic,4,7,metallic,4,43,0.91,1469,6177,18.5,20,1.081081,15648.26,3.668127,0.248083,4.424911,2.56236
12,39,acs_sym_7_mc_4_L_45,acs,7,metaliic,4,7,metallic,4,45,0.91,1379,5332,19.2,20.9,1.088542,14846.87,3.377501,0.26943,5.24264,2.966304
13,40,acs_sym_7_mc_4_L_46,acs,7,metaliic,4,7,metallic,4,46,0.93,1300,6701,19.7,21.1,1.071066,17750.74,4.582342,0.202953,4.089038,2.281556
14,50,bcs_sym_16_mc_14_L_12,bcs,16,metaliic,14,16,metallic,14,12,0.61,1688,1531,7,8.1,1.157143,33147.94,0.553173,1.10273,14.92256,5.522086
15,51,bcs_sym_16_mc_14_L_13,bcs,16,metaliic,14,16,metallic,14,13,0.6,1807,1593,6.8,7.9,1.161765,32495.61,0.528839,1.13456,16.589,6.793877
16,54,bcs_sym_16_mc_14_L_16,bcs,16,metaliic,14,16,metallic,14,16,0.72,2348,2827,7.8,9.2,1.179487,41314.74,0.866817,0.830625,11.85385,3.822421
17,59,bcs_sym_16_mc_14_L_20,bcs,16,metaliic,14,16,metallic,14,20,0.76,2143,3105,9.8,11.3,1.153061,55726.7,1.10098,0.690294,8.99666,2.910697
18,63,bcs_sym_16_mc_14_L_24,bcs,16,metaliic,14,16,metallic,14,24,0.79,1941,3322,12,13.3,1.108333,72945.72,1.352161,0.58425,6.7218,2.494165
19,65,bcs_sym_16_mc_14_L_26,bcs,16,metaliic,14,16,metallic,14,26,0.79,1936,3141,12,13.1,1.091667,70160.18,1.281581,0.616426,5.728634,3.012774
20,66,bcs_sym_16_mc_14_L_27,bcs,16,metaliic,14,16,metallic,14,27,0.81,1974,3625,11.1,12.5,1.126126,66552.32,1.487849,0.54441,7.547543,2.185946
21,80,bcs_sym_16_mc_14_L_3,bcs,16,metaliic,14,16,metallic,14,3,0.51,1166,837,5.1,6,1.176471,23261.46,0.366127,1.39296,19.12403,7.418154
22,74,bcs_sym_16_mc_14_L_34,bcs,16,metaliic,14,16,metallic,14,34,0.84,1864,3992,13.2,14.4,1.090909,86502.58,1.799347,0.466836,5.594781,1.504427
23,77,bcs_sym_16_mc_14_L_37,bcs,16,metaliic,14,16,metallic,14,37,0.83,1803,3843,12.5,14.6,1.168,86097.54,1.769602,0.469032,6.029895,1.75553
24,82,bcs_sym_16_mc_14_L_41,bcs,16,metaliic,14,16,metallic,14,41,0.85,1641,4000,14.9,16.5,1.107383,108553.7,2.071948,0.410242,4.826805,1.37332
25,84,bcs_sym_16_mc_14_L_43,bcs,16,metaliic,14,16,metallic,14,43,0.87,1511,4213,15.9,18.4,1.157233,135752.8,2.425953,0.358622,4.074592,1.328878
26,86,bcs_sym_16_mc_14_L_45,bcs,16,metaliic,14,16,metallic,14,45,0.87,1480,3874,16.3,18.2,1.116564,129896.3,2.277093,0.382066,3.934331,1.707087
27,87,bcs_sym_16_mc_14_L_46,bcs,16,metaliic,14,16,metallic,14,46,0.89,1349,4491,17.8,19.7,1.106742,154612.9,2.962568,0.300415,3.440264,0.897935
28,97,bcs_sym_16_mc_6_L_12,bcs,16,metaliic,6,16,metallic,6,12,0.21,15,13,2.5,4.7,1.88,8196.345,0.180949,1.16055,38.73337,21.71334
29,98,bcs_sym_16_mc_6_L_13,bcs,16,metaliic,6,16,metallic,6,13,0.27,7,5,3,4.3,1.433333,7292.66,0.200364,1.34755,31.3061,18.78689
30,101,bcs_sym_16_mc_6_L_16,bcs,16,metaliic,6,16,metallic,6,16,0.52,607,698,5.3,6.7,1.264151,8361.392,0.597555,0.870213,22.65159,12.48876
31,106,bcs_sym_16_mc_6_L_20,bcs,16,metaliic,6,16,metallic,6,20,0.48,600,698,4.4,6.7,1.522727,13288.32,0.558189,0.859924,16.72557,8.031729
32,110,bcs_sym_16_mc_6_L_24,bcs,16,metaliic,6,16,metallic,6,24,0.68,1248,1943,6.6,8.1,1.227273,24256.92,1.058865,0.642197,7.765219,4.257091
33,112,bcs_sym_16_mc_6_L_26,bcs,16,metaliic,6,16,metallic,6,26,0.74,1947,2856,6.6,8.7,1.318182,23772.22,1.085375,0.681792,10.6604,5.527989
34,113,bcs_sym_16_mc_6_L_27,bcs,16,metaliic,6,16,metallic,6,27,0.82,2126,4597,7.8,9.6,1.230769,19878.01,1.773494,0.462364,11.06141,4.780948
35,127,bcs_sym_16_mc_6_L_3,bcs,16,metaliic,6,16,metallic,6,3,0.2,0,0,2.2,4.1,1.863636,3983.314,0.14859,1.34599,54.54606,34.82324
